Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Randomise questionnaire elements?,Question Key,Response
5,1602144117543,08/10/2020 08:01:57,1602144118062,1,08/10/2020 09:01:58,20655,18,questionnaire-clby,,7120363,BLIND,2069368,,complete,,5f7ec71f7464561a88ccb6e7,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,Background session 1,1,17,attention-pass,attention-pass,No,response-2-inmonths,276
6,1602144117543,08/10/2020 08:01:57,1602144118063,1,08/10/2020 09:01:58,20655,18,questionnaire-clby,,7120363,BLIND,2069368,,complete,,5f7ec71f7464561a88ccb6e7,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,Background session 1,1,17,attention-pass,attention-pass,No,END QUESTIONNAIRE,16541
1,1602144106599,08/10/2020 08:01:46,1602144106189,1,08/10/2020 09:01:46,20655,18,questionnaire-clby,,7120366,BLIND,2069367,,complete,,5f7ec725cd630519b3c08ed7,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1362x927,,Background session 1,1,15,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1602144135388,08/10/2020 08:02:15,1602144134686,1,08/10/2020 09:02:14,20655,18,questionnaire-clby,,7120366,BLIND,2069367,,complete,,5f7ec725cd630519b3c08ed7,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1362x927,,Background session 1,1,15,attention-pass,attention-pass,No,gender,Female
3,1602144135497,08/10/2020 08:02:15,1602144134689,1,08/10/2020 09:02:14,20655,18,questionnaire-clby,,7120366,BLIND,2069367,,complete,,5f7ec725cd630519b3c08ed7,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1362x927,,Background session 1,1,15,attention-pass,attention-pass,No,gender-quantised,2
4,1602144135497,08/10/2020 08:02:15,1602144134689,1,08/10/2020 09:02:14,20655,18,questionnaire-clby,,7120366,BLIND,2069367,,complete,,5f7ec725cd630519b3c08ed7,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1362x927,,Background session 1,1,15,attention-pass,attention-pass,No,gender-text,
5,1602144135497,08/10/2020 08:02:15,1602144134689,1,08/10/2020 09:02:14,20655,18,questionnaire-clby,,7120366,BLIND,2069367,,complete,,5f7ec725cd630519b3c08ed7,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1362x927,,Background session 1,1,15,attention-pass,attention-pass,No,response-2-inmonths,437
6,1602144135497,08/10/2020 08:02:15,1602144134690,1,08/10/2020 09:02:14,20655,18,questionnaire-clby,,7120366,BLIND,2069367,,complete,,5f7ec725cd630519b3c08ed7,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1362x927,,Background session 1,1,15,attention-pass,attention-pass,No,END QUESTIONNAIRE,28501
1,1602144108922,08/10/2020 08:01:48,1602144108826,1,08/10/2020 09:01:48,20655,18,questionnaire-clby,,7120369,BLIND,2069374,,complete,,5f7ec72cd475b81a98ba52e0,computer,Desktop or Laptop,Linux x86_64,Chrome 86.0.4214.2,1366x768,1366x669,,Background session 1,1,5,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1602144131621,08/10/2020 08:02:11,1602144131559,1,08/10/2020 09:02:11,20655,18,questionnaire-clby,,7120369,BLIND,2069374,,complete,,5f7ec72cd475b81a98ba52e0,computer,Desktop or Laptop,Linux x86_64,Chrome 86.0.4214.2,1366x768,1366x669,,Background session 1,1,5,attention-pass,attention-pass,No,gender,Male
