Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Randomise questionnaire elements?,Question Key,Response
5,1.60241E+12,11/10/2020 08:36,1.60241E+12,1,11/10/2020 09:36,20655,20,questionnaire-kzn1,,7166644,BLIND,2083611,,complete,,5f82bde9480ebf0009a9d5a2,computer,Desktop or Laptop,Mac OS 10.14,Firefox 81.0,1440x900,1383x734,,End Survey - Session 1,6,18,attention-pass,attention-pass,No,strategy-misc,
6,1.60241E+12,11/10/2020 08:36,1.60241E+12,1,11/10/2020 09:36,20655,20,questionnaire-kzn1,,7166644,BLIND,2083611,,complete,,5f82bde9480ebf0009a9d5a2,computer,Desktop or Laptop,Mac OS 10.14,Firefox 81.0,1440x900,1383x734,,End Survey - Session 1,6,18,attention-pass,attention-pass,No,END QUESTIONNAIRE,36841
1,1.60241E+12,11/10/2020 08:37,1.60241E+12,1,11/10/2020 09:37,20655,20,questionnaire-kzn1,,7166654,BLIND,2083617,,complete,,5f82bdbe4c64993ddab3fcab,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 85.0.4183.121,1440x900,1440x742,,End Survey - Session 1,6,16,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60241E+12,11/10/2020 08:38,1.60241E+12,1,11/10/2020 09:38,20655,20,questionnaire-kzn1,,7166654,BLIND,2083617,,complete,,5f82bdbe4c64993ddab3fcab,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 85.0.4183.121,1440x900,1440x742,,End Survey - Session 1,6,16,attention-pass,attention-pass,No,strategy-describe,
3,1.60241E+12,11/10/2020 08:38,1.60241E+12,1,11/10/2020 09:38,20655,20,questionnaire-kzn1,,7166654,BLIND,2083617,,complete,,5f82bdbe4c64993ddab3fcab,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 85.0.4183.121,1440x900,1440x742,,End Survey - Session 1,6,16,attention-pass,attention-pass,No,strategy-people,
4,1.60241E+12,11/10/2020 08:38,1.60241E+12,1,11/10/2020 09:38,20655,20,questionnaire-kzn1,,7166654,BLIND,2083617,,complete,,5f82bdbe4c64993ddab3fcab,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 85.0.4183.121,1440x900,1440x742,,End Survey - Session 1,6,16,attention-pass,attention-pass,No,strategy-aid,
5,1.60241E+12,11/10/2020 08:38,1.60241E+12,1,11/10/2020 09:38,20655,20,questionnaire-kzn1,,7166654,BLIND,2083617,,complete,,5f82bdbe4c64993ddab3fcab,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 85.0.4183.121,1440x900,1440x742,,End Survey - Session 1,6,16,attention-pass,attention-pass,No,strategy-misc,
6,1.60241E+12,11/10/2020 08:38,1.60241E+12,1,11/10/2020 09:38,20655,20,questionnaire-kzn1,,7166654,BLIND,2083617,,complete,,5f82bdbe4c64993ddab3fcab,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 85.0.4183.121,1440x900,1440x742,,End Survey - Session 1,6,16,attention-pass,attention-pass,No,END QUESTIONNAIRE,52110
1,1.60241E+12,11/10/2020 08:38,1.60241E+12,1,11/10/2020 09:38,20655,20,questionnaire-kzn1,,7166662,BLIND,2083610,,complete,,5f82bde0fff6433e83b6a9b2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x979,,End Survey - Session 1,6,11,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166662,BLIND,2083610,,complete,,5f82bde0fff6433e83b6a9b2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x979,,End Survey - Session 1,6,11,attention-pass,attention-pass,No,strategy-describe,
